area_fips,own_code,industry_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
18000,5,71,2005,1952,43679,1157590233
18000,5,72,2005,11506,233656,2748552478
18000,5,81,2005,12675,83530,1933456133
18000,5,99,2005,1839,798,24400920
19000,5,11,2005,1529,13584,357316631
19000,5,21,2005,191,2088,88798125
19000,5,22,2005,344,7049,475476218
19000,5,23,2005,9299,71427,2729077575
19000,5,31,2005,4225,229121,9868672084
19000,5,42,2005,7354,67572,2932673865
19000,5,44,2005,13256,180187,3690398090
19000,5,48,2005,3531,48871,1710244618
19000,5,51,2005,1755,33304,1319082170
19000,5,52,2005,6239,83620,4218221532
19000,5,53,2005,3105,14731,439484524
19000,5,54,2005,7052,38295,1671887861
19000,5,55,2005,477,11414,699232946
19000,5,56,2005,4005,62764,1382297909
19000,5,61,2005,718,23047,625790764
19000,5,62,2005,7492,160802,5178695198
19000,5,71,2005,1410,19572,316478648
19000,5,72,2005,6679,110826,1188118722
19000,5,81,2005,7492,40215,893339040
20000,5,11,2005,1047,9635,273937458
20000,5,21,2005,943,7580,334942315
20000,5,22,2005,239,7273,470715917
20000,5,23,2005,8369,62902,2339938845
20000,5,31,2005,3373,180240,7946242540
20000,5,42,2005,7229,59590,2894810187
20000,5,44,2005,10610,148756,3170099205
20000,5,48,2005,2671,39477,1381239778
20000,5,51,2005,1459,39559,2239868132
20000,5,52,2005,5780,54996,2673113053
20000,5,53,2005,2945,15415,449217889
20000,5,54,2005,8233,54537,2617482002
20000,5,55,2005,449,9621,620539619
20000,5,56,2005,4235,68395,1817167521
20000,5,61,2005,564,11476,311022966
20000,5,62,2005,6328,148581,4835410687
20000,5,71,2005,912,12513,172084217
20000,5,72,2005,5171,99307,1172554029
20000,5,81,2005,7506,37387,848417183
20001,5,11,2005,1,0,0
20001,5,21,2005,11,0,0
20001,5,22,2005,1,0,0
20001,5,23,2005,38,168,4104752
20001,5,31,2005,23,1865,57600172
20001,5,42,2005,24,201,6524892
20001,5,44,2005,67,582,10629882
20001,5,48,2005,9,0,0
20001,5,51,2005,12,111,2119041
20001,5,52,2005,24,120,3494134
20001,5,53,2005,10,61,991721
20001,5,54,2005,24,73,1664320
20001,5,55,2005,1,0,0
20001,5,56,2005,14,0,0
20001,5,61,2005,2,0,0
20001,5,62,2005,31,0,0
20001,5,71,2005,7,26,124875
20001,5,72,2005,27,331,2554951
20001,5,81,2005,40,123,2018217
20003,5,11,2005,5,35,971777
20003,5,21,2005,10,23,948561
20003,5,23,2005,27,68,1679348
20003,5,31,2005,15,220,6130658
20003,5,42,2005,17,101,2602951
20003,5,44,2005,35,256,4546766
20003,5,48,2005,13,110,3050009
20003,5,51,2005,2,0,0
20003,5,52,2005,18,100,2557423
20003,5,53,2005,4,15,95549
20003,5,54,2005,12,28,591084
20003,5,55,2005,2,0,0
20003,5,56,2005,5,0,0
20003,5,61,2005,1,0,0
20003,5,62,2005,16,0,0
20003,5,71,2005,1,0,0
20003,5,72,2005,12,0,0
20003,5,81,2005,11,0,0
20005,5,11,2005,7,115,4195972
20005,5,21,2005,4,28,655126
20005,5,22,2005,1,0,0
20005,5,23,2005,49,264,8494767
20005,5,31,2005,22,1718,63200482
20005,5,42,2005,27,87,2451697
20005,5,44,2005,58,849,13250232
20005,5,48,2005,11,0,0
